provinsi;2000_P2;2001_P2;3011_P2;3012_P2;3020_P2;3030_P2;3041_P2;3071_P2;3072_P2
Aceh;-4330061.194310533;-75080099.40979613;89035068.47291106;2739831.0955639966;33109172.99821771;52792100.36150983;2852765.1882345285;1444231.6856927157;31991520.34221484
Bali;-14001521.180530535;-112572707.38837582;105441153.71212277;2407213.4451810014;19887252.174163055;69063352.92962939;1162800.123364239;71365348.6473365;50073617.133747175
Banten;-255744236.78052944;-255018248.83011568;376506670.7560544;2387697.9425348192;25049570.13678296;162113444.19015378;11647109.387633568;157771692.79833025;378521078.44021255
Bengkulu;-951209.0172509046;-40085926.603853814;38001987.37235509;1294674.8581219998;10594432.82816951;21422201.608083002;797258.6331648281;2899098.7895486704;20719375.649630055
DI Yogyakarta;-6214494.688119086;-75240332.12168491;86907257.56836426;3226863.1007737387;16965057.70080888;37738904.4808247;-143017.94797589682;7218703.763843941;49843553.21151772
DKI Jakarta;-898036085.4734828;-471732664.08426523;1240026255.0049944;40506628.000361994;235007774.91569138;853571014.3834271;83605.41484207101;335902561.6907639;814711616.0682867
Gorontalo;-1124645.2433119789;-13174469.481159762;20993101.388964072;216672.4256879997;7271081.9456401635;10506680.91402599;672085.9110752683;112735.1623126927;4421617.300835897
Jambi;-4185775.8913143175;-81890417.52395493;73906665.22788215;889788.715465001;14090214.62290499;45824689.23163495;-272873.70216740604;28149422.161391176;64450604.736312345
Jawa Barat;-199908581.8833501;-616797478.9396682;1255214488.0290184;9582662.152821265;97021720.89764586;467418610.23968565;10201443.750294989;359284933.1467044;487537376.00664496
Jawa Tengah;-153811653.91497618;-361983334.0254151;665137184.4397154;12258481.79722001;84207531.87314446;346108818.4520677;8591128.266989872;92099155.11340845;356307470.06402594
Jawa Timur;-279989347.26303315;-509791125.6430644;1007529510.6508026;22102203.742752004;101832094.21599123;522200012.5899615;31259987.878985353;251204339.21224716;737759726.0609329
Kalimantan Barat;-11506240.182912119;-81863356.66350521;90111311.77693698;1764863.2426140003;20398929.583696567;65753481.40296651;139769.57771333226;9154130.934823165;37148321.73000237
Kalimantan Selatan;-17273378.622945305;-68779143.55035566;79166283.93030877;1457414.3684319986;19906161.700253315;40724116.657183;1300894.3505087749;89023025.3579633;17745759.057307523
Kalimantan Tengah;-2126240.947919482;-84920000.75935349;59760343.16597021;1511862.583052504;15730443.802744715;48488161.44943839;-857798.0953434588;16723444.119577864;62070140.491776474
Kalimantan Timur;-59646606.2271314;-128630917.00244573;102257996.78737392;2406272.1788874944;22470620.98654364;150009923.22474316;407452.40491128503;245265603.86695543;157492852.63949254
Kalimantan Utara;-3136887.9680026057;-32619413.650811836;18341857.617437396;548296.8015329994;6489228.701482872;28473395.63154971;186792.75816275697;16833451.240877256;29009950.680837266
Kep. Bangka Belitung;-3224691.538924267;-24489455.112029858;35254244.55522697;445104.7983649994;7337805.710076374;17702211.227970254;837184.3638787906;16589363.039230974;14989999.250122597
Kep. Riau;-136144524.44327015;-81900902.10402387;82881133.04490733;497301.1364129999;11290204.430365281;106243763.829101;2445168.0306934398;157195525.9023808;60218545.59308894
Lampung;-41594946.99541077;-88562619.6415615;157660004.3979832;3730052.2455789912;23496491.07889963;85500400.29390626;2267359.772524655;39011310.73478965;81110696.22652696
Maluku;-5506201.111834647;-34477274.79236647;35734847.44335505;777753.8443760003;12668784.34124329;14340078.734947275;-2887.7863355862482;2620635.7913859487;18185085.014787003
Maluku Utara;-3918864.9987471043;-17844006.53510718;22410438.763329685;352335.82864200015;8935587.425978445;11544216.086445583;-34184.839110325294;547700.860135697;10838670.729621895
Nusa Tenggara Barat;-6710129.248215796;-57249868.82945904;72796134.00230473;1633301.5230289989;17216930.182776757;41626719.1660898;839985.7196389688;23040661.027939875;28112155.54270857
Nusa Tenggara Timur;-2343851.009667135;-59644405.92196188;66380931.119389586;2481449.2682850035;21441579.632740475;34380136.844117396;522528.452980268;1583299.4214258036;21828158.520398017
Papua;-11373772.08807249;-66541992.596752346;73706458.03486031;3012455.2669810024;37111738.64796366;53950587.30047751;-910310.0328452386;28327060.485585816;29081853.652154777
Papua Barat;-2326668.159106377;-24639431.391017854;19585206.692053836;642970.4832679995;14245670.910676368;17271687.0666951;-191266.25605508208;24621716.023496535;18652579.336510126
Riau;-26314938.204484295;-176744721.43749487;198771775.69270843;3093165.671270998;24578184.539924882;149793354.492234;152260.74288789072;183385127.53287968;207214652.676597
Sulawesi Barat;-722279.3179756177;-17418885.17414;18175095.23908589;276796.3600380004;6525872.557140179;11056915.689012457;-205567.25057340902;4566831.175366818;10341878.573285718
Sulawesi Selatan;-18568460.081204258;-128265905.7369461;199898546.98167172;4544823.543563002;37747453.16233403;141475862.9758166;598664.3274999624;18334890.086673606;118250722.9320533
Sulawesi Tengah;-17553895.73516977;-70992110.25795537;53326575.837370604;2044200.2302303;16395065.198006721;55081429.118615694;250629.10437985035;21292998.99286608;54173763.95576277
Sulawesi Tenggara;-9555535.311171148;-42874436.44722024;50903977.59341887;977502.6099379996;14265289.863288864;40458527.12467213;191624.51506873022;1942842.2125922404;31208290.007828526
Sulawesi Utara;-8125426.915072389;-41662550.0744479;55579540.13175886;2037751.0732327006;14799051.889495473;38681703.7753454;371904.05064285593;14895231.179017855;32685888.526505806
Sumatera Barat;-11433665.782281362;-105765578.07254982;121006705.08872196;2152153.7937859977;23018868.81344589;65038192.456840895;188109.1499767046;20717367.130495246;70022769.53735171
Sumatera Selatan;-19648836.193664543;-161040953.3118528;224008677.14842367;5319992.083811002;27080970.729893055;138939057.48359537;-2954444.9813967533;29181225.19561948;153536939.19056872
Sumatera Utara;-76584802.96884054;-206440991.25587517;323491573.96518517;5624161.5342576485;45994579.191008635;193836665.5735419;10192798.016131248;106396137.69306135;156478495.49094218
