provinsi;2010_P3;2020_P3;2045_P3
Aceh;58579962.97768639;75532741.54828842;441824.9541103057
Bali;81563745.84265086;110475746.47477908;787017.2734015416
Banten;168363502.09835777;417294638.72042453;17576637.18829435
Bengkulu;22997564.084575385;30854949.515550297;839380.5107940743
DI Yogyakarta;51229895.207473055;63939343.73738527;5133256.1189914495
DKI Jakarta;915798933.7926117;1121316417.3847382;112925354.58335991
Gorontalo;13912257.210002054;15518485.31134336;464117.7973368385
Jambi;57626015.21770653;81120739.54165334;2215562.796928791
Jawa Barat;728509931.6253319;1008796738.207175;132248503.37178034
Jawa Tengah;402785274.10533535;600483536.2940606;45645971.57089263
Jawa Timur;798261190.7017114;927669869.5391898;158176341.11084038
Kalimantan Barat;44701655.2956326;83344470.48744696;3055085.6063831006
Kalimantan Selatan;39167822.54584985;122949183.4497004;1154127.245911841
Kalimantan Tengah;42128647.28298507;72753095.34663175;1498613.1728270925
Kalimantan Timur;134532618.78550625;333062953.9109949;24437626.163762704
Kalimantan Utara;29689741.494789843;32382322.649839345;2054607.6577753285
Kep. Bangka Belitung;29196334.75008217;33548962.062409215;2696469.4754004325
Kep. Riau;103466625.74304922;97543700.43363369;1715889.222806467
Lampung;101792151.81739934;157447233.68080923;3379362.585682895
Maluku;14609705.705617096;29323495.725894243;407620.0483383672
Maluku Utara;12472269.129441094;20036792.381857798;322831.8138280609
Nusa Tenggara Barat;58163236.06832634;60930993.52079699;2211659.492359232
Nusa Tenggara Timur;35496325.877591036;49837788.042301185;1295712.405668152
Papua;42462090.89224328;103085450.73883773;816537.8250195722
Papua Barat;22570556.26205957;46985494.49037873;-1693585.5977717596
Riau;204610931.81872997;353389940.0027609;5927989.799153566
Sulawesi Barat;12693944.23323599;19682573.022908155;220140.5943254029
Sulawesi Selatan;132214633.0140446;233681925.0117776;8120040.16364949
Sulawesi Tengah;40020811.70693124;73263946.33941497;733898.3941268926
Sulawesi Tenggara;33603416.512954354;51505955.18457214;2408710.46918138
Sulawesi Utara;55344213.26246538;49679838.08577004;4239042.285875239
Sumatera Barat;79519610.24452342;101346389.2665001;4078922.5792510984
Sumatera Selatan;142903610.95890796;248546007.95095712;2973008.3659484573
Sumatera Utara;219696238.3378957;323464449.6582358;15827929.038976181
